name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Анна Тьма	1985-01-12	Владивосток			6	3	77
Вальтер Беньямин	1892-07-15	Берлин, Германская империя	1940-09-27	Порт-Бу (Портбоу), Испания	45	9	565
Владимир Кабузан	1932-04-05	г.Рошаль, Московская область, СССР	2008-02-14	г.Москва, Россия	9	0	0
Шаши Мартынова	1976-03-28				6	1	38
Лилия Мусухина	1978-09-21	Украина, Тернополь			4	0	14
Люк Росс	1972-07-18	Сан-Паулу, Бразилия			9	0	10
Павел Лукьянов	1977-05-19				2	0	0
Хельмут Ценкер	1949-01-11	St. Valentin, Austria	2003-01-07	Vienna, Austria	6	0	46
Рональд Фокс	1943-10-01	Беркли, Калифорния, США			2	0	0
Дуглас Барне Корелли	1927-06-28	Великобритания			1	0	1
Чарльз Паллисер	1947-12-11	Холиок, штат Массачусетс, США			17	5	439
Валерий Гальцов	1947-02-23	г. Лубны, СССР (сейчас Украина)			1	0	2
Сергей Максимов	1831-09-25	посад Порфеньево, Кологривский уезд Костромской губернии	1901-01-01	Санкт-Петербург	38	0	74
Яне Теллер	1964-04-08	Копенгаген, Дания			2	0	6
Алег Трусаў	1954-08-07	Мсціслаў, Магілёўская вобласць			4	0	1
Д. Мак-Муллен Д. Мак-Муллен	1882-11-09				0	0	0
Фредерик Виту	1944-08-19	Франция			0	0	1
Питер Шеффер	1926-05-15	Ливерпуль			8	0	133
Вильям Эйнсворт	1805-02-04	Манчестер, Великобритания	1882-01-03	Рейгат	14	0	63
Луи Перго	1882-01-22	Бельмонте (Ду)	1915-04-08	Маршевиль-ан-Вуавр или Френ-ан-Вуавр, Франция	4	0	3
Геннадий Зельдович	1964-05-30	Харьков			2	0	2
Кей Кеньон	1956-07-02	США			11	0	0
Ян Кеффелек	1949-09-04	Париж, Франция			2	0	172
Сергей Карцевский	1884-08-28	Тобольск, Россия	1955-11-07	Женева, Франция	5	0	1
Бидия Дандарон	1914-12-28	урочище Соорхой (Суархэ), Кижинга, Бурятия	1976-10-26	c. Выдрино, Бурятия	5	0	7
Александр Невзоров	1958-08-03	Ленинград, СССР			45	15	358
Чери Прист	1975-07-30	Тампа, Флорида, США			12	0	130
Владимир Бобренев	1943-10-10				11	0	2
Жан-Поль Дидьелоран	1962-03-02	Ла-Брессе, Вогезы, Франция			6	1	710
Cameron Hawley	1905-09-19	Howard, South Dakota	1969-02-09		2	0	1
Николай Кузнецов	1904-07-11	Медведки, ныне Котласского района Архангельской области	1974-12-06	Москва	67	0	15
Айвен Саутолл	1921-06-08	Мельбурн	2008-11-15		8	2	113
Kenneth Patchen	1911-12-12	Нил, Огайо	1972-01-08	Пало-Альто, Калифорния	2	0	1
Лидия Акимова	1923-04-04				8	0	0
Гарун Тазиев	1914-05-11	Варшава	1998-02-02	Париж	13	2	20
Хосе Коронель Уртечо	1906-02-28	Гранада, Никарагуа.	1994-03-19	Лос-Чилес, Алаюель. Коста-Рика.	0	0	0
Кеннет Оппель	1967-08-31	Порт-Альберни, Британская Колумбия, Канада			19	2	195
Сергей Кудрявцев	1956-03-12	г.Чита, СССР			11	0	28
Андраш Беркеши	1919-11-30	Будапешт, Венгрия	1997-09-14	Будапешт, Венгрия	27	1	48
Нэнси Холдер	1953-08-29	Лос-Алтос, Калифорния, США			27	2	575
Рудольф Славский	1912-12-21	Царицын	2007-11-03	Москва	9	0	3
Симона де Бовуар	1908-01-09	Париж, Франция	1986-04-14	Париж, Франция	58	83	1647
Наталья Соколова	1925-09-08	Москва	2014-01-23	Москва	35	3	111
Арнольд Шварценеггер	1947-07-30	деревня Таль близ города Грац, земля Штирия, Австрия			22	2	324
Жанна Витензон	1929-04-26	Витебск, СССР			18	0	25
Николай Атаров	1907-08-25	Владикавказ	1977-09-12	Москва	37	0	35
Ральф Уолдо Эмерсон	1803-05-25	США, Бостон	1882-04-27	США, Конкорд	50	9	55
Татьяна Серебряная	1974-09-07	Россия			2	0	4
Алла Кузнецова	1976-10-07				0	0	0
Разипурам Кришнасвами Нарайан	1906-10-10	Мадрас, Индия	2001-05-13	Ченнай, Индия	20	1	23
Д'Арси Найленд	1917-10-20	Глен Иннес, Новый Южный Уэлс, Австралия	1967-04-29	Дарлингхерст, Новый Южный Уэлс, Австралия	4	0	7
Юрий Чулюкин	1929-11-09	г. Москва, РСФСР, СССР	1987-03-07	Мапуту, Народная Республика Мозамбик	2	0	0
Виктор Гайдукевич	1904-11-12	Санкт-Петербург	1966-10-09	Керчь	1	0	1
Станислав Константинов	1951-04-11				1	0	1
Дорис Пузер	1943-01-19				1	0	2
Николай Чекменев	1905-11-27	Пишпек, Российская империя	1961-11-22	Фрунзе, СССР	2	0	0
Джон Уинстон Леннон	1940-10-09	Ливерпуль, Великобритания, США	1980-12-08	Нью-Йорк, США	18	1	210
Хрисиида Димулиду	1957-07-24	Сере, Греция			1	0	1
Николай Страхов	1828-10-28	г.Белгород, Курская губерния	1896-02-05		20	0	7
Ксавьера Холландер	1943-06-15	Soerabaja, Голландская Ост-Индия (ныне Индонезия)			8	0	101
Пауль Вернер Ланге	1943-06-13	Луккау, Бранденбург, Германия			7	0	12
Белла Улановская	1943-01-31	Свердловск, РСФСР, СССР	2005-10-12	Санкт-Петербург, РФ	3	0	3
Патриция Кэбот	1967-02-01	США			17	0	40
Р.С. Грей	1990-06-10				12	2	237
Sorachi Hideaki	1979-05-25	преф. Хоккайдо, Япония			78	3	25
Эрнесто Гевара	1928-06-14	Росарио, Аргентина	1967-10-09	Ла-Игера, Боливия	22	11	359
Михаил Авдеев	1821-10-10	г Оренбург, Российская империя	1876-02-13	Санкт-Петербург, Российская империя	6	1	12
Елена Погребижская	1972-10-01	Каменка, Выборгский район, Ленинградская область, РСФСР, СССР			2	2	167
Евгений Биктимиркин	1988-11-26	г. Куйбышев (ныне Самара)			3	0	0
Роберто Хорхе Пайро	1867-04-19	Мерседес	1928-04-05	Ломас-де-Самора	2	0	7
Игорь Дешкин	1969-06-24				2	0	1
Уильям Джадж	1851-04-13	Dublin, Ireland	1896-03-21		1	0	2
Гюнтер Беддекер	1933-07-27	Падеборн, Северный Рейн-Вестфалия, Германия	2012-06-09	Буххольц-ин-дер-Нордхайде, Нижняя Саксония, Германия	3	0	4
Янвиллем ван де Ветеринг	1931-03-12	Роттердам, Нидерланды	2008-04-04	штат Мэн, США	3	1	259
Евгений Дерлеменко	1944-12-29	Киев			2	0	1
Генрих Ф. Шумахер	1861-04-30	Корбах, Германия	1919-03-28	Берлин, Германия	21	0	110
Жан-Пьер Жибра	1954-04-14	Париж, Франция			3	3	83
Хиро Масима	1977-05-03	Япония, Нагано			103	6	110
Ива Прохазкова	1953-06-13	Оломоуц, Чехословакия			1	0	14
Михаил Ефремов	1963-11-10	Москва			8	0	67
Станислав Репьях	1938-05-14	г. Глухов, Черниговская обл., Украина	2012-06-29	г. Чернигов, Украина	0	0	0
Игорь Нетто	1930-01-09	Москва, РСФСР, СССР	1999-03-30	Москва, Россия	3	0	3
Эмиль Габорио	1832-11-09	Сожон, департамент Шаранта Приморская	1873-11-01	Париж, Франция	29	2	182
Михаил Салье	1899-08-21	Санкт-Петербург	1961-08-17		53	1	718
Александр Кононов	1985-03-13	Витебская губерния Российской Империи, местечко недалеко от г. Двинск	1957-10-28	г. Москва	29	0	50
Борис Носик	1931-03-10	Москва, СССР	2015-02-21	Ницца, Франция	82	2	155
Николай Кулиш	1892-12-18	деревня Чаплинка, ныне Херсонская область, Украина	1937-11-03	Сандармох, Карелия, Россия	11	3	767
Маргарет Лэндон	1903-09-07	Сомерс,США	1993-12-04	Александрия,США	2	0	3
Лидия Сейфуллина	1889-04-03	Варламово, Оренбургская губерния, Российская империя	1954-04-25	Москва, СССР	38	0	29
Вирпи Хямеен-Анттила	1958-10-15	Espoo, Финляндия			1	0	0
Владимир Жданов	1898-01-17	г.Нижний Новгород, Российская империя	1971-01-01		7	0	13
Якоб Пальме	1941-02-01	Уппсала, Швеция			2	0	11
Люко Дашвар	1957-10-03	Херсон, Украина			17	85	2463
Томаш Новак	1946-08-14	Брно			6	0	0
Ольга Слоневская	1960-03-08	Ценява			1	0	70
Владимир Нарбут	1888-04-14	хутор Нарбутовка Глуховского уезда Черниговской губернии	1938-04-14	Колымский край, Гулаг	2	0	0
Патрик Зюскинд	1949-03-26	Амбах, Германия			119	222	34500
Василий Бояринцев	1953-07-16	Москва			4	0	0
Феликс Либрехт	1812-03-13	Наслау, Прусская Силезия (Намуслыв, Польша)	1890-08-03	Сент-Юбер, Бельгия	1	0	0
Михаил Шумов	1923-10-17	г. Могилев, Беларусь			5	0	3
Джеймс Лириа	1696-10-21	Сен-Жермен-ан-Ле, Франция	1738-06-02	Неаполь	1	0	5
Аркадий Стругацкий	1925-08-28	Батуми, СССР	1991-10-12	Москва, Россия	731	24	297
Петер Пранге	1955-09-22	Альтена, Германия			6	0	5
Александр Милюков	1816-07-30	Козлов, Тамбовская губерния, ныне Мичуринск	1897-02-06	Санкт-Петербург,	4	0	0
Сюнрю Судзуки	1904-05-18		1974-12-04		2	1	108
Виктория Абзалова	1982-07-13	Россия, Смоленск			3	0	21
Дмитрий Старицкий	1954-12-15				10	2	32
Николай Шадрин	1947-05-01	дер. Бирюса Красноярского края, СССР			4	1	5
Борис Дубровин	1926-05-24	Москва			13	0	2
Джим Гаррисон	1937-12-11				10	2	319
Ойстин Оре	1899-09-07	Христиания (Осло), Норвегия	1968-08-13	Осло, Норвегия	13	0	3
Нора Кейта Джемисин	1972-09-19	Айова-Сити, штат Айова, США			12	16	458
Александр Добролюбов	1876-09-08	Варшава, Царство Польское, Российская Империя	1945-01-01	Уджары, Азербайджанская ССР	2	0	0
Сантьяго Пахарес	1979-03-27	Мадрид			2	4	248
Карен Джой Фаулер	1950-02-07	Блумингтон, Индиана, США			13	2	415
Ray Coleman	1937-06-15		1996-09-10		1	0	0
Десмонд Моррис	1928-01-24	Пуртон, Уилтшир, Великобритания			15	4	300
Лев Тимофеев	1936-09-08	Ленинград, СССР			15	0	10
Константин Арбенин	1968-11-21	Ленинград, СССР			22	3	70
Михаил Зыгарь	1981-01-31	Москва, СССР			28	8	2534
Франтишек Лангер	1888-03-03	Прага, Австро-Венгрия	1965-08-02	Прага, ЧССР	4	0	4
Ян Никитин	1977-07-16	Москва	2012-10-08	Москва	1	1	4
Леонид Финкель	1936-06-24	Полтава (Украина)			2	0	2
Иван Зюзюкин	1932-08-21	Зеленодольск, Татарстан	2015-01-18	Москва, РФ	13	1	203
Джевад Карахасан	1953-01-25	Дувно			1	0	0
Борис Литвинов	1939-05-09	. Лосино-Петровский, Московская обл.			23	0	1
Мария Халаши	1931-05-05		1978-04-30		3	3	104
Антон Емельянов	1985-03-14	Тверь			4	0	49
Борис Чичерин	1828-03-26	Тамбов	1904-02-18		12	0	2
Игорь Мальцев	1958-10-26	г. Ленинград			8	0	12
Жан Лерон Д’Аламбер	1717-11-16	Париж	1783-10-29	Париж	1	0	0
Алексей Федорочев	1974-01-01				3	0	43
Т.Э.Д. Клайн	1947-07-15				4	0	2
Грей Уолтер	1910-02-19	Канзас-Сити, Миссури	1977-05-06		1	0	2
Николай Калиниченко	1980-02-05	Москва			1	0	0
Андрей Макаревич	1953-12-11	Москва, СССР			54	16	698
Ахмед Хумаюн	1948-11-13	Бангладеш	2012-07-19	Нью-Йорк, США	1	0	2
Сергей Торопов	1928-05-31	г. Пермь, СССР	1990-08-01		4	0	1
Лев Пичурин	1927-12-18	г.Ленинград, СССР			5	0	1
Курт Фридрих Гёдель	1906-04-28	Брюнн, Австро-Венгрия	1978-01-14	Принстон, Нью-Джерси, США	1	0	2
Валерий Васильевич Смирнов	1937-07-09	Ленинград, СССР			3	0	1
Роберт Эйткен	1917-06-19		2010-08-05		3	0	28
Валерий Осинский	1963-06-08	Александров, Владимирская область			2	0	4
Янош Корнаи	1928-02-21	Будапешт, Венгрия			5	0	4
Младен Марков	1934-09-09	Самош, Сербия	2015-01-09	Белград, Сербия	0	0	0
Александр Мирер	1927-05-02	Москва	2001-07-18	Москва	17	2	164
Николай Огнев	1888-06-14		1938-06-22		12	1	153
Френсис ван Викк Мэсон	1901-11-11	Бостон, Массачусетс, США	1978-08-28	Бермудские острова	6	0	9
Луи-Себастьян Мерсье	1740-06-06	Париж, Франция	1814-04-25	Париж, Франция	2	0	5
Бэнкё Тамаоки	1973-04-06	Токио, Япония			4	0	49
Люсеберт	1924-09-15	Амстердам, Нидерланды	1994-05-10	Алкмар, Нидерланды	1	0	0
Дмитрий Ткач	1909-09-11	с.Орлик Полтавской обл.	1993-01-01	Киев	10	0	12
Питер Друкер	1909-11-19	Вена, Австрия	2005-11-11	Клермонт, США	40	7	214
Сергій Батурин	1960-04-04	Київ			4	0	11
Рауль Руис	1941-07-25	Пуэрто-Монт	2011-08-19	Париж	0	0	2
Людмила Бабенко	1946-07-01	Россия			7	0	11
Даниил Мордовцев	1830-12-07	слобода Даниловка Усть-Медведицкого округа Ростовско	1905-06-10		120	4	92
Деннис Брутус	1924-11-28	Хараре, Зимбабве	2009-12-26	Кейптаун, Западно-Капская провинция, ЮАР	3	0	0
Валерий Белолис	1970-09-22	Украина			1	0	0
Олег Шестинский	1929-01-28	Баку	2009-07-06	Москва	26	0	9
Бернард Лоу Монтгомери	1887-11-17	г.Лондон, Англия	1976-03-24	Элтон, Хэмпшир, Англия	4	0	7
Linda Chapman	1969-01-15	Ливерпуль, Великобритания			22	0	2
Иньяцио Силоне	1900-05-01	Пешина, Италия	1978-08-22	Женева, Швейцария	2	0	3
Дмитрий Полковников	1967-11-12				2	0	8
Вупи Голдберг	1955-11-13	Манхэттен, Нью-Йорк, США			7	0	33
Евгений Сусоров	1967-05-13	Свердловск			2	0	5
Абрам Блох	1927-02-22	Москва	2015-03-13	Москва	3	0	1
Алексей Гедеонов	1973-10-27	Украина, Киев			2	0	62
Владимир Гниломедов	1937-12-26	д. Кругель Каменецкого р-на Брестской обл., Беларусь			7	0	12
Генри Нефф	1973-09-20	США			7	0	30
Клод Лефор	1924-04-21	Париж, Франция	2010-10-03	Париж, Франция	2	0	0
Теодор Ойзерман	1914-05-14	Петроверовка, Тираспольский уезд, Херсонская губерния, Российская империя	2017-03-25	Москва, Россия	24	0	3
Трейси Киддер	1945-11-12	Нью-Йорк, США			2	0	48
Иммануил Кант	1724-04-22	Кёнигсберг, Пруссия	1804-02-12	Кёнигсберг, Пруссия	113	41	581
Юрий Галкин	1937-10-27	пос. Харитоново Котласского района Архангельской области			6	0	1
Галина Кэптукэ	1951-01-18	посёлок Кукушка, Зейский район, Амурская область, РСФСР, СССР			1	0	0
Виктор Лапицкий	1951-07-30				7	0	54
Робин Пилчер	1959-07-10	Великобритания			1	0	8
Сергей Алиханов	1947-09-22	Тбилиси			11	0	2
Александр Вратарёв	1936-06-29	Винница, Украина			1	0	1
Владимир Медведев	1940-06-04	г. Джанкой Крымской области			1	0	0
Ганс-Ульрих Рудель	1916-07-02	дер. Конрадсвальдау, Силезия, Германская империя	1982-12-18	Розенхайм, ФРГ	6	0	54
Феликс Лурье	1931-08-14	Ленинград, СССР			21	0	19
Даниэль Клугер	1951-10-08				25	1	116
Дэйв Гиббонс	1949-04-14				32	1	165
Нурихан Фаттах	1928-10-25	д. Кючтовыл, Янаульский район, Башкирская АССР	2004-02-18	г. Казань, Россия	4	0	4
Мухтар Магауин	1940-02-02	Чубартауский район, Семипалатинская область, Казахская ССР			4	0	4
Сэ Ён Ким	1973-12-17	Южная Корея			2	1	92
Василий Базанов	1911-10-27	Вожерово, Кологривского уезда, Костромской губернии	1981-02-16	Комарово Ленинградской области	6	0	0
Семен Ласкин	1930-11-22	Россия, г. Ленинград	2005-04-08	Россия, г. Санкт-Петербург	15	2	84
Жан-Луи Фетжен	1956-07-11	Франция			8	2	105
Альваро Мутис	1923-08-25	Богота, Колумбия			6	0	0
Дмитрий Балашов	1927-11-17	Ленинград	2000-07-17		218	30	250
Валерий Замыслов	1937-12-27	д. Абатурово Горьковской области	2011-09-02	г. Ростов Великий	18	1	15
Зінаїда Луценко	1974-01-16	Цибулів, Черкаська область			5	1	26
Евгений Сузюмов	1908-01-17	Пенза	1998-04-30	Москва	8	0	3
Джилл Мари Лэндис	1948-11-08	Клинтон, Индиана, США			16	0	29
Настя Любимка	1993-07-28	Украина г. Орджоникидзе			7	28	687
Николай Глазков	1919-01-30	село Лысково Нижегородской губернии	1979-10-01	Москва	9	1	11
Леопольдо Алас-и-Уренья	1852-04-25	Самора, Испания	1901-06-13	Овьедо, Испания	3	0	0
Daron Acemoglu	1967-09-03	Istanbul, Turkey			3	0	23
Аполлон Григорьев	1822-07-28	г.Москва	1864-10-07	г.Санкт-Петербург	49	1	36
Дэн Браун	1964-06-22	Нью-Гэмпшир, США			224	826	35210
Раиль Байбулатов	1937-06-02	д. Ямангулово, Куюргазинский район, Башкирская АССР	2002-07-22	Уфа, Башкортостан	1	0	0
Майкл Холройд	1935-08-27	Лондон, Великобритания			8	0	0
Стив Сем-Сандберг	1958-08-16	Осло			3	1	64
Фридрих Кристиан Геббель	1813-03-18	Вессельбурен	1863-12-13	Вена	12	0	20
Ганна Ожоговская	1904-07-20	Варшава	1995-04-26	Варшава	6	1	34
Алексей Дунаевский	1962-01-05				5	0	22
Александр Терехов	1966-06-01	г. Новомосковск, Тульская область, СССР			22	6	352
Валерий Угаров	1941-03-05	Москва, СССР	2007-11-17	Москва, Россия	2	0	12
Садег Хедаят	1903-02-17	Тегеран	1951-04-09	Париж	6	1	47
М. Дж. Энг	1933-01-26	Маклинсборо, Иллинойс, США			1	0	0
Лея Любомирская	1973-05-10	Алма-Ата, Казахская ССР, СССР			8	2	74
Галина Артемьева	1950-10-20	с. Каменка, Пензенская область			50	1	305
Габриэль Бонно де Мабли	1709-03-14	Гренобль, Франция	1795-04-02	Париж, Франция	1	0	1
Сакен Сейфуллин	1894-10-15	Акмолинская область	1939-02-28	Алма-Ата	7	0	13
Меган Максвелл	1965-02-26	Нюрнберг, Германия			7	3	119
Надежда Дедяева	1952-05-20	станица Боковская, Вешенский р-н, Ростовская область			13	0	5
Галина Заломкина	1969-08-21				2	0	3
Хасинто Бенавенте-и-Мартинес	1866-08-12	Мадрид, Испания	1954-07-14	Мадрид, Испания	1	0	10
Светлана Полякова	1961-03-15				0	0	0
Катрин Марсал	1983-10-24	Лунд, Швеция			1	1	58
Пятрас Цвирка	1909-03-12	дер. Клангяй Велюонской волости, Литва	1947-05-02	Вильнюс, Литва	16	0	8
Сурен Айвазян	1914-12-27	с. Хндзореск, Российская империя	1981-05-20	г. Ереван, Армения	5	0	6
Сиро Алегрия	1909-11-04	Сартибамба, Перу	1967-02-18	Лима, Перу	4	0	5
Давид Карапетян	1939-09-06	г.Ереван, Армения			5	0	14
Кен Блицки	1960-05-23	г. Ростов-на-Дону, СССР			1	1	1
Джек Мэтлок	1929-10-01	Гринсборо, Северная Каролина, США			5	0	1
Юкио Мисима	1925-01-14	Токио, Япония	1970-11-25	Токио, Япония	126	330	7292
Евгения Степанова	1900-06-01	г. Балашов, Саратовская губерния	1988-01-01	Москва, СССР	4	0	0
Тока Салчак	1901-11-15	Мерген, Урянхайский край, Империя Цин (ныне — Каа-Хемский кожуун, Тува, Россия)	1973-05-11	Кызыл, Тувинская АССР, РСФСР, СССР	2	0	2
Флер Йегги	1940-07-31	Цюрих, Швейцария			6	0	285
Майкл Фарадей	1791-09-22	Ньюингтон Батс, Великобритания	1867-08-25	Хэмптон-корт, Восток Молси, Великобритания	10	0	25
Брайан Талбот	1952-02-24	Ланкашир, Великобритания			13	0	17
Василий Кандинский	1866-12-04	Москва	1944-12-13	Нёйи-сюр-Сен, Франция	26	6	350
Дженни Диски	1947-07-08				9	1	1
Тобайас Джордж Смоллетт	1721-03-19	г. Далквхерн, Шотландия	1771-09-17	г. Ливорно, Италия	22	0	119
Фридрих Генрих Христиан Любкер	1811-09-18	Хузум, Германия	1867-10-10	Фленсбург, Германия	8	0	0
Сергей Абашин	1965-03-08				3	0	5
Лазарь Ремпель	1907-11-07	Кишинёв Бессарабской губернии	1992-04-27	Москва	4	0	2
Джузеппе Феррара	1932-07-15	Флоренция, Италия			2	0	1
Юрий Герчук	1926-10-19	Москва, СССР	2014-03-01	Москва, РФ	17	0	30
Тьерри Жонке	1954-01-19	Париж, Франция	2009-08-09		6	4	1116
Рубен Дарио	1867-01-18	Метапа (ныне - Сьюдад-Дарио), Никарагуа	1916-02-06	Леон	22	0	51
Саин Муратбеков	1936-10-15	Конур, Капальского района Талды-Курганской области	2007-03-13	Алматы, Казахстан	13	0	7
Ирина Андрианова-Голицына	1958-09-16	Москва, СССР			21	1	107
Скендер Куленович	1910-09-02	г. Боснийский Петровац, Австро-Венгерская империя	1978-01-25	г. Белград, Югославия	1	0	4
Яна Катаева	1978-08-18				1	0	13
Александра Бужилова	1960-10-08	Кишинев, СССР (сейчас Молдавия)			1	0	0
Андрей Кураев	1963-02-15	Москва			127	17	390
Роберт Джирарди	1961-11-18	Спрингфилд, Вирджиния, США			2	0	26
Эдвард Григ	1843-06-15	Берген, Норвегия	1907-09-04	Берген, Норвегия	29	0	2
Rosie Harris	1925-07-12	Кардифф, Великобритания			1	0	1
Кристофер Хибберт	1924-03-05	Эндерби, Лестершир (Enderby, Leicestershire)	2008-12-21	Хенли-на-Темзе, Оксфордшир (Henley-on-Thames, Oxfordshire)	20	0	27
Ричард Ловетт	1953-10-28	Диксон, штат Иллинойс			3	0	10
Павел Севярынец	1976-12-30	г. Орша Беларусь			3	0	7
Мишель Вие	1929-08-31	Жьен, провинция Луаре, Франция			1	0	4
Джейн Фонда	1937-12-21	Нью-Йорк, США			5	0	16
Геннадий Смирнов	1940-09-30	Деревня Павлиха Кинешемского района, Ивановская область	1998-08-05		29	0	1
Георг Белов	1858-01-19	Гумбиннен	1927-10-20	Баденвайлер	1	0	0
Поль Бурже	1852-09-02	Амьен, Франция	1935-12-25	Париж, Франция	17	0	83
Альфонсас Малдонис	1929-08-22	Науяплента, Алитусский район, Литва	2007-10-06	Вильнюс, Литва	5	0	0
Надежда Ладыгина-Котс	1889-05-06	Кузнецк, Россия	1963-09-03	Москва, СССР	4	0	3
Иосиф Тронский	1897-05-16	Одесса, Украина	1970-10-03	Ленинград, СССР	26	0	51
Араминта Холл	1971-08-06	Великобритания			2	0	89
Ellen Anderson Gholson Glassgow	1873-04-22	Ричмонд, США	1945-11-21	Ричмонд, США	2	0	0
Анна Матвеева	1972-01-19	Екатеринбург			39	11	1232
Сергей Волков	1969-08-02	Россия			99	5	1830
Джон Апдайк	1932-03-18	Рединг, Пенсильвания, США	2009-01-27	Беверли Фарм, Массачусетс, США	194	55	4341
Евгений Колесов	1951-04-30	г. Кострома, СССР			16	2	46
Александр Торик	1958-09-25	Москва, СССР			28	9	757
Лариса Григорьева	1946-03-13	г. Татарск, Новосибирская область			1	0	0
Ли Смолин	1955-06-06	Нью-Йорк, США			6	2	62
Елена Благинина	1903-06-27	село Яковлево Орловской губернии	1989-04-24	Москва	129	0	265
Катя Зазовка	1983-09-04	Минск, Беларусь			2	2	130
Рихард фон Крафт-Эбинг	1840-08-14	Мангейм, Германия	1902-12-22	Грац, Австрия	11	2	89
Матьяс Энар	1972-01-11	Ньор, Франция			2	0	0
Сирил Поннамперума	1923-10-16	Галле (Шри-Ланка)	1994-12-20	Колледж-Парк (Мэриленд, США)	1	0	3
Мори Огай	1862-01-19	Япония, Симанэ	1922-07-09		5	2	41
Элизабет Энн Скарборо	1947-03-23	Канзас-Сити, штат Миссури, США			18	0	77
Марсель Салимов	1949-01-03	дер. Саит-Курзя Бураевского района Башкирской АССР			3	0	0
Ульрих Тукур	1957-07-29	Фирнхайм, Германия			1	0	0
Джулиан Барнс	1946-01-19	Англия			154	124	6745
Джейсон Аарон	1973-01-28	Джаспер, Алабама, США			137	0	323
Донато Карризи	1973-03-25	Мартина-Франка, Апулия, Италия			23	40	2076
Анатолий Гоморев	1937-08-01	Смоленск			2	0	0
Gard Sveen	1969-03-08				1	0	0
Евгений Коблик	1963-08-01				3	0	0
Павил Розит	1889-12-01	Лиепская волость, Российская Империя (ныне Цесисский район)	1937-02-20	Рига, Латвия	3	0	0
Владимир Бахтин	1923-10-01	Великий Новгород	2001-06-08	Санкт-Петербург	7	0	2
Элляй Серафим	1904-11-29	Амгинский наслег	1976-12-14	Якутск, Якутская АССР, РСФСР, СССР	3	0	0
Анатолий Кучерена	1960-08-23	с.Мындра, Каларашский район, Молдавская ССР			23	0	29
Джон Годолфин Беннетт	1897-06-08	Лондон, Англия	1974-12-13	Глостершир, Англия	16	1	11
Лев Овалов	1905-08-29	Москва	1997-04-30	Москва	41	4	65
Дайсаку Икеда	1928-01-02	Токио, Япония			24	0	3
Максим Гуреев	1966-05-06	Москва			8	0	26
Леонид Рейзер	1949-10-05				4	0	9
Джозеф Кэмпбелл	1904-03-26	Нью-Йорк	1987-10-31	Гонолулу	31	17	607
Рая Дунаевская	1910-05-01	Ярышев, Могилёв-Подольский район, Винницкая область, Украина	1987-06-09	Чикаго, США	1	0	0
Питер Страуб	1943-03-02	г. Милуоки, штат Висконсин (США)			78	10	2493
Пётр Успенский	1878-03-04	Москва	1947-10-02		46	10	191
Дэвид Бальдаччи	1960-08-05	Ричмонд, Виргиния, США			264	18	1049
Сергей Рубин	1952-02-11				2	0	5
Хосе Рисаль	1861-06-19		1896-12-30		14	0	6
Федот Филин	1908-02-23	Селино, Тульская губерния, Российская Империя	1982-05-05	Москва, СССР	9	0	0
Тед Морган	1932-03-30	Женева			3	0	22
Руперт Шелдрейк	1942-06-28	Ньюарк-он-Трент, Великобритания			13	1	19
Мелвин Брэгг	1939-10-06	г. Вигтоун, Великобритания			17	0	140
Олександр Корнейко	1992-06-19	Луцк			2	0	3
Лев Аннинский	1934-04-07	Ростов-на-Дону, СССР			52	5	36
Мария Луиза Кашниц	1901-01-31	Карлсруэ, Германия	1974-10-10	Рим, Италия	5	1	5
Тосико Кандзава	1924-01-29	Фукуока, Япония			2	0	15
Пётр Луцик	1960-01-01	с.Березань, Украина	2000-10-28	Москва, Россия	5	0	0
Тимоти Ирвинг Фредерик Финдли	1930-10-30	Торонто, Канада	2002-06-21	Бриньоль, Франция	9	0	143
Хван Ким	1973-02-16	Корея			4	0	20
Екатерина Седиа	1970-07-09	Москва			0	0	1
Нелли Закс	1891-12-10	Берлин, Германия	1970-05-12	Стокгольм, Швеция	1	2	3
Лион Измайлов	1940-05-05	г.Москва, СССР			36	0	12
Анатолий Ляпидевский	1908-03-10	село Белая Глина Медвеженский уезд, Ставропольская губерния, Российская империя (ныне Белоглинский р	1983-04-29	Москва, СССР	2	0	3
Арнульф Эверланн	1889-04-27	Кристиансанн	1968-03-25	Осло	1	0	1
Говард Немеров	1920-03-01	Нью-Йорк	1991-07-05		2	0	3
Вацлав Ржезач	1901-05-05	Прага, Чехия	1956-06-22	Прага, Чехия	14	0	3
Эрнст Куно Фишер	1824-07-23	Грос-Зандевальд в Силезии, Германская империя	1907-07-05	Гейдельберг, Германская империя	17	1	10
Марло Морган	1937-09-29	США			1	0	53
Тодд Маккефри	1956-04-27	Монклэйр (Montclair) в Нью-Джерси			14	0	4
Ежи Косинский	1933-06-14	Лодзь, Польша	1991-05-03	Нью-Йорк, США	11	9	719
Илья Таранов	1959-09-14	Ульяновск			2	0	3
Якоб Беме	1575-03-08	Альт-Зайденберг, Саксония, Германия	1624-11-18	Гёрлиц, Саксония, Германия	17	3	30
Езетхан Уруймагова	1905-12-12	село Христиановское (город Дигора), Российская империя	1955-05-15	город Орджоникидзе, Северная-Осетинская АССР	8	0	9
Джулиана Бэгготт	1969-09-30				16	3	192
Тодор Харманджиев	1905-01-26	Враца	1993-01-28		2	0	6
