name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Раїса Іванченко	1934-11-30	Гуляйполе			8	0	5
Цецилия Динере	1919-12-25	Краслава, Латгалия, Латвия	1996-07-18	Бат-Ям, Израиль	2	0	2
Мирослав Лаюк	1990-07-31	с. Смодна, Івано-Франківська область			7	1	73
Адриан Роланд Холст	1888-05-23	г. Амстердам, Нидерланды	1976-08-05	г. Берген, Северная Голландия, Нидерланды	1	0	0
Валерий Нефёдов	1949-05-20	Рига	2017-01-29	Москва	4	0	6
Тревор Ной	1984-02-20				4	0	15
Юрий Владимиров	1921-07-18	дер. Старо-Котяково Батыревского района Чувашской Республики СССР			25	0	35
Амирхан Еникеев	1909-03-02	дер. Новые Каргалы Белебеевского уезда, Уфимская губерния, Российская империя	2000-02-16	Казань, Россия	4	0	2
Андрей Логвинов	1951-05-19	Новосибирская область			6	1	2
Владимир Грошев	1940-01-20	станция Чебеньки Оренбургской обл.	2009-05-03		3	0	1
Анатолий Фирсов	1941-03-01	Москва	2000-07-24	Химкинский район, Московская область.	3	0	1
Андрей Кокоулин	1973-05-26	Нарьян-Мар, Архангельская обл.			3	0	53
Андрей Чегодаев	1905-02-25	г.Саратов, Российская империя	1994-04-08	г.Москва, Российская федерация	34	0	6
Аугусто Монтерросо	1921-12-21	Тегусигальпа, Гондурас	2003-02-07	Мехико, Мексика	6	0	2
Ричард Хелл	1949-10-02	Лексингтон, шт. Кентукки, США			13	7	592
Евгений Сидоров	1938-02-11	Свердловск, СССР			16	0	0
Дэвид Николс	1966-11-30	Хэмпшир, Великобритания			29	24	4821
Александр Турчинов	1964-03-31	Днепропетровск			5	2	23
Фёдор Кони	1809-03-21	Москва, Российская империя	1879-02-06	Санкт-Петербург, Российская империя	9	0	14
Джошуа Феррис	1974-11-08	Данвилл, Иллинойс, США			15	0	109
Елена Войнаровская	1970-10-31	г. Николаев, Украина			2	1	20
Лев Тетерников	1941-09-24		2012-03-22		16	0	9
Николсон Бейкер	1957-01-07	Рочестер, штат Нью-Йорк, США			11	0	52
Фабьен Вельман	1972-01-30	Мон-де-Марсан, Франция			5	1	165
Александр Гадоль	1982-11-06	г. Днепропетровск, УССР, СССР			1	1	4
Джон Гилгуд	1904-04-14	Южный Кенсингтон, Лондон, Англия	2000-05-21	графство Бакингемшир, Англия	2	0	0
Валентин Гафт	1935-09-02	Москва, РСФСР, СССР			33	3	125
Иван Пинженин	1986-08-10	Екатеринбург			2	0	12
Валерий Еремеев	1966-07-14	Красноярский край			9	0	4
Валерий Осипов	1930-08-17	г. Москва	1987-01-01		29	1	75
Федор Крюков	1870-02-02	станица Глазуновская Усть-Медведицкого округа Области Войска Донского (ныне Кумылженский район Волго	1920-03-04	хут. Незаймановский Кубанской области	15	1	9
Ирина Вильде	1907-05-05	г. Черновцы	1982-10-30	г. Львов	13	5	125
Ілья Гурскі	1899-04-26	в. Замосце Ўздзенскага раёна Менскай вобласці	1972-08-11		1	0	0
Поль Бокюз	1926-02-11				9	0	17
Елена Долгова	1964-04-24	Пермь			14	1	43
Леонид Смирнягин	1935-04-03	г. Москва	2016-12-03	г. Москва	1	0	1
Мамайхан Агларов	1935-03-27	село Ашали Ботлихского района Дагестанской АССР	2017-03-14		1	0	1
Джессика Спотсвуд	1980-05-03	Pennsylvania, USA			12	4	31
Луи-Пьер Дюкро	1846-12-27	Ним, Франция	1935-01-01	Страсбург, Франция	1	0	0
Николас Фиск	1923-10-14	Лондон, Великобритания	2016-05-10	Великобритания	0	0	0
Хадльгримюр Хельгасон	2000-02-18	Рейкьявик, Исландия			5	7	848
Йаэль Адлер	1973-07-17	Франкфурт-на-Майне, Германия			3	2	1442
Т. Дж. Басс	1932-07-07	Клинтон, Айова, США	2011-12-13	Гонолулу, Гавайи, США	2	0	0
Масару Ибука	1908-04-11	Никко, Япония	1997-12-19	Токио, Япония	16	3	1823
Марк Бекофф	1945-10-06	Бруклин, Нью-Йорк, США			9	0	13
Джон Клиз	1939-10-27	Уэстон-сьюпер-Мэр, Сомерсет, Великобритания			6	0	97
Микола Вороний	1871-12-06	Екатеринославщина	1938-06-07	Одесса	2	0	35
Анна Гайкалова	1954-03-22	Москва			5	0	6
Джереми Кларксон	1960-04-11	Донкастер, Южный Йоркшир, Англия			31	19	501
Mark Beaumont	1972-06-02	Enfield, England			7	0	23
Мария Петровых	1908-03-26	Норский посад Ярославской губернии	1979-06-01	Москва	20	4	52
Анджела Нанетти	1942-11-08	Будрио (провинция Болонья, Италия)			10	11	3764
Геннадий Киселев	1955-02-13	Москва			12	0	8
Теодор Цан	1838-10-10	Мёрс, Германия	1933-03-05	Эрланген, Германия	1	0	0
Сергей Змеев	1973-06-24				4	1	9
Уэллс Спенсер	1969-04-06	штат Джорджия, США			5	0	84
Удо Шефер	1926-10-19	Гейдельберг, Административный округ Карлсруэ, Баден-Вюртемберг, Германия			0	0	1
Лиланд Экстон Модезитт	1943-10-19	Колорадо, США			10	5	43
Таха Хусейн	1889-11-14	деревня Кило в губернаторстве эль-Минья, Египет	1973-10-28	Каир	2	0	4
Хильда Эллис Дэвидсон	1914-10-01	Bebington, Wirral, Cheshire	2006-01-01	Кент	2	0	20
Жюльен Офре Ламетри	1709-12-25	Сен-Мало, Бретань	1751-11-11	Берлин	3	1	12
Дэн Джейкобсон	1929-03-07	Йоханнесбург, ЮАР	2014-06-12	Лондон	5	0	5
Аллен Карр	1934-09-02	Лондон, Англия	2006-11-29	Малага, Испания	56	9	2110
Сергей Смирнов	1941-08-29	Слоним, Гродненская область, Белорусская ССР			9	0	4
Миша Лев	1917-07-03	Погребище, Киевская губерния, Российская империя	2013-05-23	Реховот, Израиль	8	0	1
Эрнст Ханфштангль	1887-02-02	Мюнхен	1975-11-06	Мюнхен	2	1	30
Инна Гофф	1928-10-24	Харьков, Украина	1991-04-26		18	3	59
Брендон Сандерсон	1975-12-27	Линкольн, штат Небраска, США			106	172	2173
Анна Багряна (Багрянцева)	1981-03-24	Фастів, Київська область			5	0	20
Джеймс Боуэн	1979-03-15	Великобритания			42	119	10381
Николай Фёдоров	1946-12-31	г. Ленинград			27	6	101
Аполлон Кузьмин	1928-09-08	село Высокие Поляны, Шацкий уезд, Рязанская губерния, РСФСР	2004-05-09	Рязань, Россия	17	0	20
Мухадин Ахметов	1917-07-25	аул Зеюко, Кубанская область, Россия			1	0	0
Вадим Громов	1974-11-28	Пгт. Коммунар, Ленинградская область			6	1	23
Эндрю Йорк	1930-12-07	Джорджтаун, Британская Гвиана (ныне Гайана)			2	0	1
Трумен Капоте	1924-09-30	Новый Орлеан, США	1984-08-25	Лос-Анджелес, США	131	221	17481
Wioletta Greg	1974-02-09	Козегловы, Польша			1	0	0
Давид Рязанов (настоящая фамилия — Гольдендах)	1870-03-10	Одесса	1938-01-21	Саратов	2	0	0
Евгений Морозов	1927-12-10				25	0	0
Галина Пагутяк	1958-07-26	с. Залокоть, Дрогобычский район, Львовская область			30	6	70
Георгий Бруссе	1907-02-12		1975-07-28		2	0	2
Кунико Мукода	1929-11-28	Токио, Япония	1981-08-22	Тайвань, КНР	0	1	1
Петр Кожевников	1953-06-08	Ленинград, СССР			11	0	11
Вернер Хофманн	1928-08-08	Вена	2013-03-13	Гамбург	3	0	8
Маргит Сандему	1924-04-23	Норвегия	2018-07-01	Швеция	115	29	579
Мишель Магориан	1947-11-06	Портсмут, Англия			7	0	18
Евгений Субботский	1948-01-15	г. Сухэ-Баторе, МНР			5	0	8
Дмитрий Арапов	1943-05-16	Ереван	2015-12-14	Москва	5	0	3
Ладислав Баллек	1941-04-02	Тераны, Словакия	2014-04-15	Братислава, Словакия	6	0	5
Ольга Симонова-Партан	1960-12-19	Москва			1	0	8
Неделько Фабрио	1937-11-14	Сплит, Хорватия			2	0	0
Хелен Данмор	1952-12-12	Йоркшир, Англия, Великобритания	2017-06-05		16	0	2
Мариус фон Майенбург	1972-02-21	Мюнхен, Германия			1	1	55
Фолько Куиличи	1930-04-09	г. Феррара, Королевство Италия			2	0	3
Ренато Прада Оропеса	1937-10-17	Потоси, Боливия	2011-09-09	Пуэбла-де-Сарагоса, Мексика	1	0	0
Ян Добрачинский	1910-04-20	Варшава, Российская империя	1994-03-05	Варшава, Польша	4	0	13
Константин Гамсахурдиа	1891-05-15	Абаша, Кутаисская губерния, Российская империя	1975-07-17	Тбилиси, Грузинская ССР	17	2	44
Ююко Такэмия	1978-02-24	Тотиги, Япония			17	0	109
Алексей Поворов	1983-12-22	г. Тамбов, Российская Федерация			1	2	17
Геннадий Серебряков	1937-01-30	Акмолинск Казахской ССР	1996-03-16	станция Семхоз, под Москвой]	8	0	17
Уильям Крейг	1949-08-23	East Peoria, штат Иллинойс			1	0	8
Таге Даниельссон	1928-02-05	Швеция	1985-10-13	Стокгольм , Швеция	0	0	0
Рэймонд Курцвейл	1948-02-12	Куинс, Нью-Йорк, США			11	3	194
